top - 18:47:36 up 18 min,  1 user,  load average: 2.02, 1.01, 0.54
Tasks: 258 total,   5 running, 253 sleeping,   0 stopped,   0 zombie
%Cpu(s): 42.1 us, 27.6 sy,  0.0 ni, 30.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   2277.2 free,   1033.0 used,    813.8 buff/cache     
MiB Swap:   1024.0 total,   1024.0 free,      0.0 used.   2850.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  12213 root      20   0    5576   1780   1780 R 100.0   0.0   0:10.57 yes
  12215 root      20   0    5576   1936   1936 R 100.0   0.0   0:10.59 yes
  12216 root      20   0    5576   1812   1812 R  91.7   0.0   0:10.58 yes
  12214 root      20   0    5576   1668   1668 R  83.3   0.0   0:10.58 yes
   1183 kali      20   0  250900  75844  19984 S  16.7   1.9   0:10.42 wrapper+
   1275 kali      20   0  148660  38768  29772 S   8.3   1.0   0:05.70 vmtoolsd
  12298 root      20   0   10420   5264   3216 R   8.3   0.1   0:00.03 top
      1 root      20   0   23936  14556  10504 S   0.0   0.4   0:04.45 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.06 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:01.21 rcu_pre+
