top - 18:42:23 up  8:06,  1 user,  load average: 2.07, 1.21, 0.78
Tasks: 258 total,   5 running, 250 sleeping,   3 stopped,   0 zombie
%Cpu(s): 44.4 us, 26.4 sy,  0.0 ni, 29.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   1587.4 free,   1168.4 used,   1427.7 buff/cache     
MiB Swap:   1024.0 total,   1023.5 free,      0.5 used.   2715.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 280353 root      20   0    5576   1864   1864 R 100.0   0.0   0:10.59 yes
 280354 root      20   0    5576   1776   1776 R 100.0   0.0   0:10.58 yes
 280355 root      20   0    5576   1804   1804 R 100.0   0.0   0:10.58 yes
 280356 root      20   0    5576   1804   1804 R 100.0   0.0   0:10.57 yes
 280438 root      20   0   10420   5304   3256 R  18.2   0.1   0:00.04 top
    821 root      20   0  380748 128188  64308 S   9.1   3.2  13:03.29 Xorg
      1 root      20   0   24024  14208  10468 S   0.0   0.4   0:08.15 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.06 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.63 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:19.65 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.53 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.05 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.42 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.49 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.56 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:01.50 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.51 ksoftir+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0.0   0.0   0:01.70 migrati+
     39 root      20   0       0      0      0 S   0.0   0.0   0:02.79 ksoftir+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0.0   0.0   0:01.55 migrati+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.52 ksoftir+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0.0   0.0   0:01.51 migrati+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.49 ksoftir+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     64 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.09 khungta+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     70 root      20   0       0      0      0 S   0.0   0.0   0:14.80 kcompac+
     71 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     72 root      39  19       0      0      0 S   0.0   0.0   0:14.01 khugepa+
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root      20   0       0      0      0 S   0.0   0.0   0:14.28 kswapd0
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
    101 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
    102 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
    106 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
    107 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
